Restaurant_ID	Name	Chef	Country_Region	Cuisine_Type	Awarded_Since	Average_Price	Gourmet_ID	Favorite_Cuisine	Favorite_Restaurant	Travel_Destination	Average_Budget
86	Zen	Tristin Farmer	12	12	2021-01-01	301					
87	Gaon	Kim Byoung-Jin	13	18	2016-01-01	194					
88	La Yeon	Kim Sung-Il	13	18	2016-01-01	210					
89	Lasarte	Martin Berasategui and Paolo Casagrande	14	11	2016-01-01	250					
90	ABaC	Jordi Cruz	14	11	2018-01-01	250					
91	Quique Dacosta	Quique Dacosta	14	11	2012-01-01	210					
92	Aponiente	Angel Leon	14	15	2018-01-01	215					
93	El Celler de Can Roca	Joan Roca	14	11	2009-01-01	350					
94	Azurmendi	Eneko Atxa	14	11	2013-01-01	250					
95	Martin Berasategui	Martin Berasategui	14	11	2001-01-01	290					
96	DiverXO	David Munoz	14	11	2014-01-01	365					
97	Arzak	Juan Mari Arzak and Elena Arzak	14	27	1989-01-01	260					
98	Akelare	Pedro Subijana	14	27	2006-01-01	240					
99	El Cenador de Amos	Jesus Sanchez	14	21	2020-01-01	235					
100	Frantzen	Bjorn Frantzen	15	21	2018-01-01	364					
101	Cheval Blanc	Peter Knogl	16	8	2016-01-01	262	8	16	101	8	390
101	Cheval Blanc	Peter Knogl	16	8	2016-01-01	262	17	20	101	16	550
102	Restaurant de l'Hotel de Ville	Franck Giovannini	16	8	1992-01-01	378					
103	Schloss Schauenstein	Andreas Caminada	16	10	2011-01-01	325					
104	Le Palais	Ken Chan and Matt Chen	17	5	2018-01-01	160					
105	Waterside Inn	Alain Roux	18	8	1985-01-01	224					
106	Fat Duck	Heston Blumenthal	18	11	2004-01-01	446					
107	Restaurant Gordon Ramsay	Gordon Ramsay and Matt Abe	18	13	2001-01-01	262	1	8	107	16	300
108	Alain Ducasse at the Dorchester	Jean-Philippe Blondet	18	13	2010-01-01	232					
109	Sketch (The Lecture Room and Library)	Pierre Gagnaire	18	22	2020-01-01	298					
110	Core by Clare Smyth	Clare Smyth	18	20	2021-01-01	232					
111	Helene Darroze at The Connaught	Helene Darroze	18	21	2021-01-01	220					
112	L'Enclume	Simon Rogan	18	11	2022-01-01	208					
113	Alinea	Grant Achatz and Simon Davies	19	9	2011-01-01	331	13	9	113	11	200
114	SingleThread	Kyle Connaughton	19	4	2019-01-01	340					
115	Manresa	David Kinch and Nicholas Romero	19	4	2016-01-01	294	4	4	115	19	295
116	Le Bernardin	Eric Ripert, Chris Muller, and Eric Gestel	19	24	2006-01-01	207					
117	Per Se	Thomas Keller and Corey Chow	19	13	2006-01-01	322					
118	Masa	Masa Takayama	19	25	2009-01-01	540	2	17	118	9	290
118	Masa	Masa Takayama	19	25	2009-01-01	540	5	25	118	7	340
119	Eleven Madison Park	Daniel Humm and Brian Lockwood	19	15	2012-01-01	258	18	15	119	3	260
120	Chef's Table at Brooklyn Fare	Cesar Ramirez	19	9	2012-01-01	358					
121	Atelier Crenn	Dominique Crenn	19	13	2019-01-01	270					
122	Benu	Corey Lee and Brandon Rodgers	19	3	2019-01-01	317	16	3	122	19	420
123	Quince	Micheal Tusk and Neil Stetz	19	4	2019-01-01	326					
124	The Inn at Little Washington	Patrick O'Connell	19	2	2019-01-01	216					
125	The French Laundry	Thomas Keller and David Breeden	19	13	2007-01-01	408					
